test_ID,Dataset,Adjacencia,k,Ponderacao,Simetrica,Conectado,Propagacao,PorcRot,NumExp,SeedExp,TempExp,NumNRot,Acuracia,F_measure
92,ace_ECFP_4.data,MST,4,LLE,True,True,LapRLS,0.02,0,76,1.1809383193651837,0,0.5,0.3184275184275184
93,ace_ECFP_4.data,MST,4,LLE,True,True,LapRLS,0.05,0,127,1.1921677708625793,0,0.5,0.3230963883137796
94,ace_ECFP_4.data,MST,4,LLE,True,True,LapRLS,0.08,0,40,1.2033145387967428,0,0.5,0.2813295975547631
95,ace_ECFP_4.data,MST,4,LLE,True,True,LapRLS,0.1,0,65,1.2140737056732178,0,0.5,0.2803391626921038
96,ace_ECFP_4.data,mutKNN,6,RBF,True,True,LapRLS,0.02,0,76,1.2276630322138469,0,0.5,0.3184275184275184
97,ace_ECFP_4.data,mutKNN,6,RBF,True,True,LapRLS,0.05,0,127,1.2383399645487467,0,0.5,0.3230963883137796
98,ace_ECFP_4.data,mutKNN,6,RBF,True,True,LapRLS,0.08,0,40,1.2490495284398395,0,0.5,0.2813295975547631
99,ace_ECFP_4.data,mutKNN,6,RBF,True,True,LapRLS,0.1,0,65,1.2589598139127096,0,0.5,0.2803391626921038
100,ace_ECFP_4.data,mutKNN,6,HM,True,True,LapRLS,0.02,0,76,1.2736291925112406,0,0.5,0.3184275184275184
101,ace_ECFP_4.data,mutKNN,6,HM,True,True,LapRLS,0.05,0,127,1.2845466613769532,0,0.5,0.3230963883137796
102,ace_ECFP_4.data,mutKNN,6,HM,True,True,LapRLS,0.08,0,40,1.2942795674006145,0,0.5,0.2813295975547631
103,ace_ECFP_4.data,mutKNN,6,HM,True,True,LapRLS,0.1,0,65,1.3045061588287354,0,0.5,0.2803391626921038
104,ace_ECFP_4.data,mutKNN,6,LLE,True,True,LapRLS,0.02,0,76,1.31665442387263,0,0.5,0.3184275184275184
105,ace_ECFP_4.data,mutKNN,6,LLE,True,True,LapRLS,0.05,0,127,1.3269690990447998,0,0.5,0.3230963883137796
106,ace_ECFP_4.data,mutKNN,6,LLE,True,True,LapRLS,0.08,0,40,1.33804319302241,0,0.5,0.2813295975547631
107,ace_ECFP_4.data,mutKNN,6,LLE,True,True,LapRLS,0.1,0,65,1.3492851694424948,0,0.5,0.2803391626921038
108,ace_ECFP_4.data,symKNN,6,RBF,True,True,LapRLS,0.02,0,76,1.3631929238637288,0,0.5,0.3184275184275184
109,ace_ECFP_4.data,symKNN,6,RBF,True,True,LapRLS,0.05,0,127,1.3741445263226828,0,0.5,0.3230963883137796
110,ace_ECFP_4.data,symKNN,6,RBF,True,True,LapRLS,0.08,0,40,1.385028866926829,0,0.5,0.2813295975547631
111,ace_ECFP_4.data,symKNN,6,RBF,True,True,LapRLS,0.1,0,65,1.3952712456385294,0,0.5,0.2803391626921038
112,ace_ECFP_4.data,symKNN,6,HM,True,True,LapRLS,0.02,0,76,1.4108546733856202,0,0.5,0.3184275184275184
113,ace_ECFP_4.data,symKNN,6,HM,True,True,LapRLS,0.05,0,127,1.4215662360191346,0,0.5,0.3230963883137796
114,ace_ECFP_4.data,symKNN,6,HM,True,True,LapRLS,0.08,0,40,1.43193173011144,0,0.5,0.2813295975547631
115,ace_ECFP_4.data,symKNN,6,HM,True,True,LapRLS,0.1,0,65,1.44275860786438,0,0.5,0.2803391626921038
116,ace_ECFP_4.data,symKNN,6,LLE,True,True,LapRLS,0.02,0,76,1.455761543909709,0,0.5,0.3184275184275184
117,ace_ECFP_4.data,symKNN,6,LLE,True,True,LapRLS,0.05,0,127,1.4668726404507957,0,0.5,0.3230963883137796
118,ace_ECFP_4.data,symKNN,6,LLE,True,True,LapRLS,0.08,0,40,1.4790363550186156,0,0.5,0.2813295975547631
119,ace_ECFP_4.data,symKNN,6,LLE,True,True,LapRLS,0.1,0,65,1.4896953105926514,0,0.5,0.2803391626921038
120,ace_ECFP_4.data,symFKNN,6,RBF,True,True,LapRLS,0.02,0,76,1.50267626841863,0,0.5,0.3184275184275184
121,ace_ECFP_4.data,symFKNN,6,RBF,True,True,LapRLS,0.05,0,127,1.514325499534607,0,0.5,0.3230963883137796
122,ace_ECFP_4.data,symFKNN,6,RBF,True,True,LapRLS,0.08,0,40,1.5246680855751038,0,0.5,0.2813295975547631
123,ace_ECFP_4.data,symFKNN,6,RBF,True,True,LapRLS,0.1,0,65,1.535245176156362,0,0.5,0.2803391626921038
124,ace_ECFP_4.data,symFKNN,6,HM,True,True,LapRLS,0.02,0,76,1.5507675528526306,0,0.5,0.3184275184275184
125,ace_ECFP_4.data,symFKNN,6,HM,True,True,LapRLS,0.05,0,127,1.5619882702827457,0,0.5,0.3230963883137796
126,ace_ECFP_4.data,symFKNN,6,HM,True,True,LapRLS,0.08,0,40,1.572958775361379,0,0.5,0.2813295975547631
127,ace_ECFP_4.data,symFKNN,6,HM,True,True,LapRLS,0.1,0,65,1.5840859850247702,0,0.5,0.2803391626921038
128,ace_ECFP_4.data,symFKNN,6,LLE,True,True,LapRLS,0.02,0,76,1.5959065318107606,0,0.5,0.3184275184275184
129,ace_ECFP_4.data,symFKNN,6,LLE,True,True,LapRLS,0.05,0,127,1.6066291292508443,0,0.5,0.3230963883137796
130,ace_ECFP_4.data,symFKNN,6,LLE,True,True,LapRLS,0.08,0,40,1.6182109316190083,0,0.5,0.2813295975547631
131,ace_ECFP_4.data,symFKNN,6,LLE,True,True,LapRLS,0.1,0,65,1.6280174891153971,0,0.5,0.2803391626921038
132,ace_ECFP_4.data,MST,6,RBF,True,True,LapRLS,0.02,0,76,1.6421258886655172,0,0.5,0.3184275184275184
133,ace_ECFP_4.data,MST,6,RBF,True,True,LapRLS,0.05,0,127,1.652963149547577,0,0.5,0.3230963883137796
134,ace_ECFP_4.data,MST,6,RBF,True,True,LapRLS,0.08,0,40,1.6635138034820556,0,0.5,0.2813295975547631
135,ace_ECFP_4.data,MST,6,RBF,True,True,LapRLS,0.1,0,65,1.6746248722076416,0,0.5,0.2803391626921038
136,ace_ECFP_4.data,MST,6,HM,True,True,LapRLS,0.02,0,76,1.6896549940109251,0,0.5,0.3184275184275184
137,ace_ECFP_4.data,MST,6,HM,True,True,LapRLS,0.05,0,127,1.7005733013153077,0,0.5,0.3230963883137796
138,ace_ECFP_4.data,MST,6,HM,True,True,LapRLS,0.08,0,40,1.7112815221150717,0,0.5,0.2813295975547631
139,ace_ECFP_4.data,MST,6,HM,True,True,LapRLS,0.1,0,65,1.7223909775416055,0,0.5,0.2803391626921038
140,ace_ECFP_4.data,MST,6,LLE,True,True,LapRLS,0.02,0,76,1.7339821457862854,0,0.5,0.3184275184275184
141,ace_ECFP_4.data,MST,6,LLE,True,True,LapRLS,0.05,0,127,1.7445029656092326,0,0.5,0.3230963883137796
142,ace_ECFP_4.data,MST,6,LLE,True,True,LapRLS,0.08,0,40,1.755440322558085,0,0.5,0.2813295975547631
143,ace_ECFP_4.data,MST,6,LLE,True,True,LapRLS,0.1,0,65,1.7655732830365498,0,0.5,0.2803391626921038
144,ace_ECFP_4.data,mutKNN,8,RBF,True,True,LapRLS,0.02,0,76,1.7793774127960205,0,0.5,0.3184275184275184
145,ace_ECFP_4.data,mutKNN,8,RBF,True,True,LapRLS,0.05,0,127,1.790451673666636,0,0.5,0.3230963883137796
146,ace_ECFP_4.data,mutKNN,8,RBF,True,True,LapRLS,0.08,0,40,1.8007953683535258,0,0.5,0.2813295975547631
147,ace_ECFP_4.data,mutKNN,8,RBF,True,True,LapRLS,0.1,0,65,1.811037333806356,0,0.5,0.2803391626921038
148,ace_ECFP_4.data,mutKNN,8,HM,True,True,LapRLS,0.02,0,76,1.8274468700091044,0,0.5,0.3184275184275184
149,ace_ECFP_4.data,mutKNN,8,HM,True,True,LapRLS,0.05,0,127,1.8381148099899287,0,0.5,0.3230963883137796
150,ace_ECFP_4.data,mutKNN,8,HM,True,True,LapRLS,0.08,0,40,1.8492400447527568,0,0.5,0.2813295975547631
151,ace_ECFP_4.data,mutKNN,8,HM,True,True,LapRLS,0.1,0,65,1.85936176776886,0,0.5,0.2803391626921038
152,ace_ECFP_4.data,mutKNN,8,LLE,True,True,LapRLS,0.02,0,76,1.8715105851491287,0,0.5,0.3184275184275184
153,ace_ECFP_4.data,mutKNN,8,LLE,True,True,LapRLS,0.05,0,127,1.883691398302714,0,0.5,0.3230963883137796
154,ace_ECFP_4.data,mutKNN,8,LLE,True,True,LapRLS,0.08,0,40,1.894858578840892,0,0.5,0.2813295975547631
155,ace_ECFP_4.data,mutKNN,8,LLE,True,True,LapRLS,0.1,0,65,1.9052000641822813,0,0.5,0.2803391626921038
156,ace_ECFP_4.data,symKNN,8,RBF,True,True,LapRLS,0.02,0,76,1.918774425983429,0,0.5,0.3184275184275184
157,ace_ECFP_4.data,symKNN,8,RBF,True,True,LapRLS,0.05,0,127,1.930126670996348,0,0.5,0.3230963883137796
158,ace_ECFP_4.data,symKNN,8,RBF,True,True,LapRLS,0.08,0,40,1.940955630938212,0,0.5,0.2813295975547631
159,ace_ECFP_4.data,symKNN,8,RBF,True,True,LapRLS,0.1,0,65,1.951548532644908,0,0.5,0.2803391626921038
160,ace_ECFP_4.data,symKNN,8,HM,True,True,LapRLS,0.02,0,76,1.967341935634613,0,0.5,0.3184275184275184
161,ace_ECFP_4.data,symKNN,8,HM,True,True,LapRLS,0.05,0,127,1.9780307292938235,0,0.5,0.3230963883137796
162,ace_ECFP_4.data,symKNN,8,HM,True,True,LapRLS,0.08,0,40,1.9905177235603333,0,0.5,0.2813295975547631
163,ace_ECFP_4.data,symKNN,8,HM,True,True,LapRLS,0.1,0,65,2.001247310638428,0,0.5,0.2803391626921038
164,ace_ECFP_4.data,symKNN,8,LLE,True,True,LapRLS,0.02,0,76,2.0134962995847068,0,0.5,0.3184275184275184
165,ace_ECFP_4.data,symKNN,8,LLE,True,True,LapRLS,0.05,0,127,2.0239606499671936,0,0.5,0.3230963883137796
166,ace_ECFP_4.data,symKNN,8,LLE,True,True,LapRLS,0.08,0,40,2.035628151893616,0,0.5,0.2813295975547631
